0;zn7034.py;wenjun61.py;99.3;
1;ping378.py;hdcms7923.py;90.9;
2;pyundoyeon.py;nomorefifa.py;90.9;
3;yisl22.py;eric9907.py;90.4;
4;raon09.py;yisl22.py;90.1;
5;yonzzi.py;alsrb3421.py;88.7;
6;raon09.py;uan_0910.py;87.1;
7;kmjng.py;yonzzi.py;86.8;
8;pyundoyeon.py;couplet.py;86.7;
9;nomorefifa.py;couplet.py;86.1;
10;eric9907.py;bestdawon.py;86.0;
11;seohyunbin1.py;yurjune.py;85.2;
12;kmjng.py;alsrb3421.py;84.8;
13;zn7034.py;luckydog.py;82.7;
14;wenjun61.py;luckydog.py;82.2;
15;parksn5029.py;gkffkgk.py;81.4;
16;tjralsrla.py;cosmos7.py;80.8;
17;raon09.py;eric9907.py;80.2;
18;yisl22.py;bestdawon.py;79.4;
19;nomorefifa.py;wj0147.py;79.1;
20;nomorefifa.py;alsrb3421.py;78.5;
21;zn7034.py;hdcms7923.py;78.2;
22;wenjun61.py;hdcms7923.py;77.7;
23;pyundoyeon.py;alsrb3421.py;77.6;
24;seohyunbin1.py;csm010311.py;77.6;
25;pyundoyeon.py;wj0147.py;76.9;
26;yonzzi.py;pyundoyeon.py;76.4;
27;yonzzi.py;nomorefifa.py;75.9;
28;eric9907.py;kjeng7897.py;75.6;
29;yonzzi.py;parksn5029.py;75.1;
