0;solution_13.cpp;robot3104.cpp;100.0;
1;solution_14.cpp;robot3104.cpp;100.0;
2;solution_13.cpp;solution_14.cpp;100.0;
3;kjeng7897.cpp;robot3104.cpp;84.9;
4;solution_13.cpp;kjeng7897.cpp;84.9;
5;solution_14.cpp;kjeng7897.cpp;84.9;
6;solution_5.cpp;solution_2.cpp;62.0;
7;solution_9.cpp;solution_15.cpp;21.6;
8;solution_15.cpp;solution_10.cpp;20.4;
9;solution_9.cpp;solution_10.cpp;17.3;
10;solution_15.cpp;robot3104.cpp;11.0;
11;solution_15.cpp;solution_13.cpp;11.0;
12;solution_15.cpp;solution_14.cpp;11.0;
13;solution_1.cpp;kjeng7897.cpp;0.0;
14;solution_10.cpp;kjeng7897.cpp;0.0;
15;solution_11.cpp;kjeng7897.cpp;0.0;
16;solution_12.cpp;kjeng7897.cpp;0.0;
17;solution_15.cpp;kjeng7897.cpp;0.0;
18;solution_16.cpp;kjeng7897.cpp;0.0;
19;solution_17.cpp;kjeng7897.cpp;0.0;
20;solution_18.cpp;kjeng7897.cpp;0.0;
21;solution_2.cpp;kjeng7897.cpp;0.0;
22;solution_3.cpp;kjeng7897.cpp;0.0;
23;solution_4.cpp;kjeng7897.cpp;0.0;
24;solution_5.cpp;kjeng7897.cpp;0.0;
25;solution_6.cpp;kjeng7897.cpp;0.0;
26;solution_7.cpp;kjeng7897.cpp;0.0;
27;solution_8.cpp;kjeng7897.cpp;0.0;
28;solution_9.cpp;kjeng7897.cpp;0.0;
29;solution_1.cpp;robot3104.cpp;0.0;
